Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M1.0,2015-09-27T20:54Z,2015-09-27T21:00Z,2015-09-27T21:15Z,12422,5983,No
M1.0,2015-09-29T05:53Z,2015-09-29T05:56Z,2015-09-29T06:04Z,12422,5983,No
M1.0,2015-10-02T12:19Z,2015-10-02T12:26Z,2015-10-02T12:31Z,12422,5983,No
M1.0,2015-10-02T17:08Z,2015-10-02T17:18Z,2015-10-02T17:23Z,12422,5983,No
M1.0,2015-10-04T02:34Z,2015-10-04T02:41Z,2015-10-04T02:48Z,12422,5983,No
M1.1,2015-10-15T23:27Z,2015-10-15T23:31Z,2015-10-15T23:37Z,12434,6015,No
M1.1,2015-10-16T06:11Z,2015-10-16T06:16Z,2015-10-16T06:20Z,12434,6015,No
M1.5,2015-10-17T20:35Z,2015-10-17T20:42Z,2015-10-17T20:46Z,12437,6026,No
M1.1,2015-10-17T20:09Z,2015-10-17T20:23Z,2015-10-17T20:28Z,12437,6026,No
M2.6,2015-11-04T11:55Z,2015-11-04T12:03Z,2015-11-04T12:06Z,12445,6052,No
M1.9,2015-11-04T03:20Z,2015-11-04T03:26Z,2015-11-04T03:29Z,12445,6052,2015-11-04T03:48:00-CME-001
M3.7,2015-11-04T13:31Z,2015-11-04T13:52Z,2015-11-04T14:13Z,12443,6063,2015-11-04T14:24:00-CME-001
M1.0,2015-10-31T17:48Z,2015-10-31T17:52Z,2015-10-31T17:55Z,12443,6063,No
M3.9,2015-11-09T12:49Z,2015-11-09T13:12Z,2015-11-09T13:28Z,12449,6078,No
M2.8,2015-12-21T00:52Z,2015-12-21T01:03Z,2015-12-21T01:11Z,12472,6205,2015-12-21T01:24:00-CME-001
M1.1,2015-12-21T10:09Z,2015-12-21T10:19Z,2015-12-21T10:32Z,12472,6205,2015-12-21T10:48:00-CME-001
M4.7,2015-12-23T00:23Z,2015-12-23T00:40Z,2015-12-23T00:52Z,12473,6206,2015-12-23T01:09:00-CME-001
M2.3,2016-01-01T23:10Z,2016-01-02T00:11Z,2016-01-02T01:01Z,12473,6206,No
M1.8,2015-12-28T11:20Z,2015-12-28T12:45Z,2015-12-28T14:09Z,12473,6206,2015-12-28T12:39:00-CME-001
M1.6,2015-12-22T03:15Z,2015-12-22T03:34Z,2015-12-22T03:48Z,12473,6206,No
M1.1,2015-12-24T01:49Z,2015-12-24T02:12Z,2015-12-24T02:22Z,12473,6206,No
M1.8,2016-02-13T15:16Z,2016-02-13T15:24Z,2016-02-13T15:26Z,12497,6327,No
M1.1,2016-02-15T10:41Z,2016-02-15T11:00Z,2016-02-15T11:06Z,12497,6327,No
M1.0,2016-02-12T10:36Z,2016-02-12T10:47Z,2016-02-12T10:53Z,12497,6327,No
M1.0,2016-02-14T19:18Z,2016-02-14T19:26Z,2016-02-14T19:29Z,12497,6327,No
M6.7,2016-04-18T00:14Z,2016-04-18T00:29Z,2016-04-18T00:39Z,12529,6483,2016-04-18T00:36:00-CME-001
M7.6,2016-07-23T05:00Z,2016-07-23T05:16Z,2016-07-23T05:24Z,12567,6670,2016-07-23T05:24:00-CME-001
M5.5,2016-07-23T05:27Z,2016-07-23T05:31Z,2016-07-23T05:33Z,12567,6670,2016-07-23T05:24:00-CME-001
M5.0,2016-07-23T01:46Z,2016-07-23T02:11Z,2016-07-23T02:23Z,12567,6670,No
M2.0,2016-07-24T06:09Z,2016-07-24T06:20Z,2016-07-24T06:32Z,12567,6670,No
